Kitap Adı,Yazar,Puan,Türler,Çevirmen,Okunma Sayısı,Begeni Sayısı,Bkmkitap,Kitapyurdu,Erkek,Kadın,Tahmini Okuma Süresi,Sayfa Sayısı,Basım Tarihi,İlk Yayın Tarihi,Yayınevi,Editör,Tasarımcı,Derleyen,Çizer
Hayvanlardan Tanrılara: Sapiens,Yuval Noah Harari,8.8,"['Araştırma-İnceleme', 'Tarih', 'Felsefe-Düşünce', 'İnsan ve Toplum', 'Bilim-Teknoloji-Mühendislik', 'Sosyoloji']",Ertuğrul Genç,37000,10800,166.85,225.2,51.1,48.9,700,412,2019,2011,Kolektif Kitap,,,,
Uzun Hikâye,Mustafa Kutlu,8.2,"['Hikaye (Öykü)', 'Edebiyat']",,37000,7200,82.5,71.5,21.700000000000003,78.3,194,114,2023,2000,Dergâh Yayınları,,,,
Mutluluk,Zülfü Livaneli,8.2,"['Edebiyat', 'Roman']",,36900,6900,38.49,27.53,20.799999999999997,79.2,666,392,2020,2007,Doğan Kitap,,Geray Gençer,,
Melekler ve Şeytanlar,Dan Brown,8.8,"['Roman', 'Polisiye', 'Edebiyat']",Petek Demir,36800,7600,327.25,258.83,36.7,63.3,979,576,2004,2001,Altın Kitaplar,,,,
Bab-ı Esrar,Ahmet Ümit,8.2,"['Edebiyat', 'Polisiye', 'Roman', 'Tarih']",,36800,6800,208.0,186.82,25.900000000000006,74.1,694,408,2018,2008,Everest Yayınları,,Utku Lomlu,,
İnsanın Anlam Arayışı,Viktor E. Frankl,8.4,"['Biyografi', 'Felsefe-Düşünce', 'Psikoloji', 'İnsan ve Toplum']",Özge Yılmaz,36800,8500,119.1,111.88,27.400000000000006,72.6,264,155,2023,1946,Okuyan Us Yayın,,,,
İnsanlığımı Yitirirken,Osamu Dazai,7.2,"['Roman', 'Edebiyat']",Peren Ercan,36700,6100,48.0,48.2,15.900000000000006,84.1,218,128,2023,1948,İthaki Yayınları,,,,
"""Beyoğlunun En Güzel Abisi""",Ahmet Ümit,8.3,"['Roman', 'Polisiye', 'Edebiyat']",,36500,6900,107.25,6.88,27.700000000000003,72.3,711,418,2019,2013,Everest Yayınları,,,,
Gazap Üzümleri,John Steinbeck,8.7,"['Dünya Klasikleri', 'Edebiyat', 'Roman']",Belkıs Çorakçı Dişbudak,36400,9800,276.0,211.85,36.2,63.8,945,556,2020,1939,Sel Yayınları,Bülent O. Doğan,Gülay Tunç,,
Yaşamak,Yu Hua,8.6,"['Edebiyat', 'Roman', 'Tarih']",Bahar Kılıç,36200,8700,113.75,105.05,16.5,83.5,357,210,2016,2003,Jaguar Kitap,Suat Kemal Angı,,,
İstanbul Hatırası,Ahmet Ümit,8.7,"['Roman', 'Polisiye', 'Tarih', 'Edebiyat']",,36000,7500,312.0,288.25,27.200000000000003,72.8,1003,590,2019,2014,Everest Yayınları,,Utku Lomlu,,
Güneşi Uyandıralım,José Mauro de Vasconcelos,8.1,"['Roman', 'Edebiyat']",Aydın Emeç,35700,7500,182.0,122.62,21.0,79.0,468,275,2023,1974,Can Yayınları,,,,
Karamazov Kardeşler,Fyodor Dostoyevski,9.0,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Nihal Yalaza Taluy,35600,10300,130.0,135.63,40.8,59.2,1743,1025,2023,1880,Türkiye İş Bankası Kültür Yayınları,,,,
Ve Dağlar Yankılandı,Khaled Hosseini,8.0,"['Roman', 'Edebiyat']",Püren Özgören,35400,6700,178.75,178.75,18.599999999999994,81.4,697,410,2022,2012,Everest Yayınları,,,,
Yüreğim Seni Çok Sevdi,Canan Tan,7.9,"['Aşk', 'Edebiyat', 'Roman']",,35000,5800,218.4,185.22,10.099999999999994,89.9,755,444,2016,2009,Doğan Kitap,,,,
Harry Potter ve Azkaban Tutsağı,J. K. Rowling (Robert Galbraith),9.3,"['Roman', 'Fantastik', 'Edebiyat', 'Gençlik']",Kutlukhan Kutlu,34900,8100,182.0,161.31,21.900000000000006,78.1,673,396,2022,1999,Yapı Kredi Yayınları Yayınları,Ayça Sabuncuoğlu,,,
"Ben, Kirke",Madeline Miller,7.9,"['Roman', 'Fantastik', 'Edebiyat', 'Mitolojiler']",Seda Çıngay,34700,8000,150.0,150.03,16.400000000000006,83.6,694,408,2021,2018,İthaki Yayınları,Alican Saygı Ortanca,Hamdi Akçay,,
Madame Bovary,Gustave Flaubert,7.6,"['Roman', 'Dünya Klasikleri', 'Aşk', 'Edebiyat']",Sabri Esat Siyavuşgil,34000,5500,14.85,13.19,24.900000000000006,75.1,673,396,2019,1856,Türkiye İş Bankası Kültür Yayınları,,,,
Kızıl Veba,Jack London,8.1,"['Dünya Klasikleri', 'Edebiyat', 'Roman']",Levent Cinemre,33900,6500,16.9,20.15,31.900000000000006,68.1,122,72,2020,1912,Türkiye İş Bankası kültür Yayınları,,,,
"""Notre Dameın Kamburu""",Victor Hugo,8.7,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Volkan Yalçıntoklu,33700,7900,84.5,77.5,30.200000000000003,69.8,950,559,2022,1831,Türkiye İş Bankası Kültür Yayınları,,,,
On Küçük Zenci,Agatha Christie,8.9,"['Roman', 'Polisiye', 'Edebiyat', 'Korku-Gerilim']",Semih Yazıcıoğlu,33600,8000,131.75,21.19,25.5,74.5,325,191,2006,1939,Altın Kitaplar,,,,
Göğe Bakma Durağı,Turgut Uyar,7.3,"['Edebiyat', 'Şiir']",,33300,5900,29.5,30.2,21.799999999999997,78.2,184,108,2023,2008,Yapı Kredi Yayınları,,,,
Cemile,Cengiz Aytmatov,7.9,"['Roman', 'Dünya Klasikleri', 'Aşk', 'Edebiyat']",Refik Özdek,33300,6100,38.5,44.66,24.900000000000006,75.1,136,80,2019,1958,Ötüken Neşriyat,,,,Zafer Yılmaz
Vahşetin Çağrısı,Jack London,8.0,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Levent Cinemre,33300,6700,22.1,26.35,41.5,58.5,184,108,2023,1903,Türkiye İş Bankası Kültür Yayınları,,,,
"""Doğunun Limanları""",Amin Maalouf,8.3,"['Edebiyat', 'Roman', 'Tarih']",Saadet Özen,33100,1205,,,32.900000000000006,67.1,313,184,2021,1998,Yapı Kredi Yayınları,,,,
Şah ve Sultan,İskender Pala,8.5,"['Roman', 'Tarih', 'Edebiyat']",,33100,6600,191.75,203.55,35.2,64.8,663,390,2023,2012,Kapı Yayınları,,Utku Lomlu,,
Empati,Adam Fawer,8.4,"['Roman', 'Bilim-Kurgu', 'Edebiyat']",Murat Kayı,33000,6800,282.75,229.1,34.7,65.3,1173,690,2019,2008,April Yayıncılık,,Pelin İpek,,
Yaşlı Adam ve Deniz,Ernest Hemingway,7.7,"['Roman', 'Dünya Klasikleri', 'Edebiyat', 'Macera-Aksiyon']",Yasemin Yener,32900,6200,109.5,90.0,34.400000000000006,65.6,150,88,2023,1950,Bilgi Yayınları,Biray Üstüner,,,
Kırlangıç Çığlığı,Ahmet Ümit,8.7,"['Edebiyat', 'Polisiye', 'Roman']",,32299,7400,211.25,195.2,22.0,78.0,680,400,2018,0,Everest Yayınları,,Utku Lomlu,,
Jane Eyre,Charlotte Brontë,9.0,"['Roman', 'Dünya Klasikleri', 'Aşk', 'Edebiyat']",Nihal Yeğinobalı,32200,8800,13.2,8.25,8.599999999999994,91.4,1064,626,2020,1847,Can Yayınları,,,,
Tehlikeli Oyunlar,Oğuz Atay,8.9,"['Roman', 'Edebiyat']",,31900,10200,252.0,220.97,37.7,62.3,814,479,2022,0,İletişim Yayıncılık,Ayla Duru Karadağ,Ümit Kıvanç,,
Küçük Kara Balık,Samed Behrengi,8.6,"['Hikaye (Öykü)', 'Çocuk', 'Edebiyat']",Haşim Hüsrevşahi,31700,6500,45.5,29.2,20.099999999999994,79.9,88,52,2023,1968,Can Yayınları,,,,
"""Lyonda Düğün""",Stefan Zweig,7.3,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat']",Gülperi Sert,31600,4997,18.2,18.6,21.200000000000003,78.8,85,50,2021,1927,Türkiye İş Bankası Kültür Yayınları,Gamze Varım,,,
İçimdeki Müzik,Sharon M. Draper,8.7,"['Roman', 'Edebiyat', 'Gençlik']",Zeynep Kürük,31400,7500,112.0,91.6,11.299999999999997,88.7,435,256,2021,2010,Timaş Genç Yayınları,,,,
Bir Psikiyatristin Gizli Defteri,Gigi Vorgan,8.0,"['Psikoloji', 'İnsan ve Toplum', 'Anlatı']",Duygu Akın,31000,6400,163.8,132.72,21.599999999999994,78.4,571,336,2016,2010,NTV Yayınları,Onur Kaya,,,
Anayurt Oteli,Yusuf Atılgan,6.8,"['Roman', 'Edebiyat', 'Türk Klasikleri']",,30600,4525,84.5,66.99,41.0,59.0,218,128,2023,1973,Can Yayınları,Faruk Duman,,,
İnce Memed 2,Yaşar Kemal,9.0,"['Edebiyat', 'Roman']",,30300,7300,227.5,200.2,39.4,60.6,780,459,2020,1969,Yapı Kredi Yayınları,,,,
İrade Terbiyesi,Jules Payot,8.1,"['Psikoloji', 'Kişisel Gelişim', 'İnsan ve Toplum']",Hakan Alp,30000,7300,30.5,9.9,36.6,63.4,340,200,2018,1895,Ediz Yayınevi,,,,
Yüzbaşının Kızı,Aleksandr Puşkin,7.9,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Ergin Altay,30000,5500,88.0,87.23,35.3,64.7,337,198,2016,1836,İletişim Yayınları,,,,
Kızıl,Stefan Zweig,7.4,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat', 'Novella']",Regaip Minareci,29900,5100,18.2,18.6,27.400000000000006,72.6,116,68,2022,1908,Türkiye İş Bankası Kültür Yayınları,,,,
Harry Potter ve Ateş Kadehi,J. K. Rowling (Robert Galbraith),9.2,"['Roman', 'Fantastik', 'Edebiyat', 'Gençlik']",Kutlukhan Kutlu,29900,6800,34.79,,22.099999999999994,77.9,1129,664,2023,2000,Yapı Kredi Yayınları,,,,
Fakat Müzeyyen Bu Derin Bir Tutku,İlhami Algör,6.4,"['Aşk', 'Edebiyat', 'Roman']",,29800,4839,76.8,67.34,24.5,75.5,100,59,2014,0,İletişim Yayıncılık,,,,
Zaman Makinesi,H. G. Wells,7.6,"['Dünya Klasikleri', 'Bilim-Kurgu', 'Edebiyat', 'Novella']",Celal Üster,29600,6300,22.1,21.7,36.6,63.4,177,104,2024,1895,Türkiye İş Bankası Kültür Yayınları,,,,
Taaşşuk-ı Talat ve Fitnat,Şemseddin Sami,8.1,"['Roman', 'Aşk', 'Edebiyat', 'Türk Klasikleri']",,29600,4831,10.5,4.46,19.299999999999997,80.7,231,136,2017,1872,Araf Yayınları,,,,
Senden Önce Ben,Jojo Moyes,8.4,"['Roman', 'Aşk', 'Edebiyat']",Ayşe Görür,29600,6300,82.5,54.99,11.700000000000003,88.3,816,480,2013,2012,Pegasus Yayınları,,,,
Açlık Oyunları,Suzanne Collins,8.7,"['Roman', 'Fantastik', 'Bilim-Kurgu', 'Edebiyat', 'Macera-Aksiyon']",Taylan Taftaf,29200,5100,218.4,166.64,23.799999999999997,76.2,714,420,2022,2009,Dex Kitap,,,,
Ana,Maksim Gorki,8.4,"['Dünya Klasikleri', 'Edebiyat', 'Roman']",Mazlum Beyhan,29200,6400,27.3,19.8,35.8,64.2,707,416,2016,1906,Evrensel Basım Yayın,,,,
"""Leylanın Evi""",Zülfü Livaneli,8.4,"['Edebiyat', 'Roman']",,29200,5900,129.6,117.0,18.0,82.0,483,284,2017,2006,Doğan Kitap,,,,
Yaprak Dökümü,Reşat Nuri Güntekin,8.0,"['Edebiyat', 'Roman', 'Türk Klasikleri']",,29200,4051,115.2,124.0,22.799999999999997,77.2,272,160,2016,0,İnkılâp Kitabevi,,,,
Kör Baykuş,Sadık Hidayet,7.8,"['Roman', 'Edebiyat']",Behçet Necatigil,29100,6000,9.8,9.9,30.400000000000006,69.6,163,96,2023,1936,Yapı Kredi Yayınları,Selahattin Özpalabıyıklar,,,
Aforizmalar,Franz Kafka,7.5,"['Dünya Klasikleri', 'Edebiyat', 'Felsefe-Düşünce']",Osman Çakmakçı,28900,4846,27.3,21.7,32.099999999999994,67.9,185,109,2017,1931,Türkiye İş Bankası Kültür Yayınları,,,,
Açlık,Knut Hamsun,7.9,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Behçet Necatigil,28800,5900,60.0,60.2,35.099999999999994,64.9,269,158,2017,1890,Varlık Yayınları,,,,
Ağrıdağı Efsanesi,Yaşar Kemal,8.4,"['Roman', 'Aşk', 'Edebiyat', 'Halk Edebiyatı']",,28300,6200,58.5,72.27,35.2,64.8,211,124,2022,1970,Yapı Kredi Yayınları,,,,Abidin Dino
Nutuk,Mustafa Kemal Atatürk,9.8,"['Dünya Klasikleri', 'Siyaset-Politika', 'Tarih', 'Anı-Mektup-Günlük', 'Eğitim', 'Gençlik', 'Türk Klasikleri']",,28200,8500,2.55,7.5,55.7,44.3,1170,688,2014,1927,Parola Yayınları,,,,
Var mısın?,Doğan Cüceloğlu,8.7,"['Kişisel Gelişim', 'İnsan ve Toplum']",,28100,6500,91.0,82.68,25.700000000000003,74.3,544,320,2021,0,Kronik Kitap Yayınları,,,,
Delifişek,José Mauro de Vasconcelos,7.5,"['Roman', 'Edebiyat', 'Gençlik']",İnci Kut,28000,5000,91.0,72.2,23.599999999999994,76.4,145,85,2021,1963,Can Yayınları,,,,
Yeni Dünya,Sabahattin Ali,7.8,"['Hikaye (Öykü)', 'Edebiyat', 'Türk Klasikleri']",,27900,5200,19.5,23.4,33.3,66.7,218,128,2021,1943,Yapı Kredi Yayınları,,,,
Nar Ağacı,Nazan Bekiroğlu,8.9,"['Roman', 'Edebiyat']",,27900,7400,238.0,203.65,16.599999999999994,83.4,911,536,2021,2020,Timaş Yayınları,Seval Akbıyık,,,
Beyoğlu Rapsodisi,Ahmet Ümit,8.3,"['Edebiyat', 'Polisiye', 'Roman']",,27800,4808,162.5,150.2,27.599999999999994,72.4,694,408,2016,2003,Everest Yayınları,,,,
Kinyas ve Kayra,Hakan Günday,8.4,"['Roman', 'Edebiyat', 'Yeraltı Edebiyatı']",,27700,8000,257.4,208.2,33.599999999999994,66.4,906,533,2022,2000,Doğan Kitap,,,,
Sevda Sözleri,Cemal Süreya,8.4,"['Edebiyat', 'Şiir']",,27700,6500,191.75,137.03,31.400000000000006,68.6,564,332,2017,1990,Yapı Kredi Yayınları,,,,
Balıkçı ve Oğlu,Zülfü Livaneli,7.8,"['Edebiyat', 'Roman']",,27600,5100,93.6,81.25,25.200000000000003,74.8,238,140,2021,0,İnkılap Kitabevi,,,,
Ruh Adam,Hüseyin Nihal Atsız,8.7,"['Roman', 'Edebiyat']",,27500,7300,133.0,143.26,39.5,60.5,524,308,2019,0,Ötüken Neşriyat,,,,
Mai ve Siyah,Halid Ziya Uşaklıgil,8.0,"['Edebiyat', 'Roman', 'Türk Klasikleri']",,27500,4645,12.0,7.5,28.400000000000006,71.6,598,352,2016,1897,Yakamoz Yayınları,,,,
Devlet,Platon (Eflatun),8.3,"['Dünya Klasikleri', 'Siyaset-Politika', 'Felsefe-Düşünce']",M. Ali Cimcoz,27400,5500,65.0,57.35,50.6,49.4,632,372,2019,0,Türkiye İş Bankası Kültür Yayınları,,,,
Geçmişe Yolculuk,Stefan Zweig,7.3,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat', 'Novella']",Regaip Minareci,27200,4386,3.25,9.9,24.099999999999994,75.9,88,52,2023,1976,İş Bankası Kültür Yayınları,,,,
Korkuyu Beklerken,Oğuz Atay,8.4,"['Hikaye (Öykü)', 'Edebiyat', 'Türk Klasikleri']",,27200,6600,140.0,122.76,32.099999999999994,67.9,343,202,2022,1975,İletişim Yayıncılık,,Ümit Kıvanç,,
Mürebbiye,Stefan Zweig,7.2,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat']",İlknur İgan,27100,4116,18.2,21.7,23.599999999999994,76.4,150,88,2021,1911,Türkiye İş Bankası Kültür Yayınları,Gamze Varım,,,
Ölü Ozanlar Derneği,N. H. Kleinbaum,8.7,"['Edebiyat', 'Gençlik', 'Roman']",Gül Yılmaz,26900,6200,82.5,71.51,27.0,73.0,272,160,2003,0,Nokta Yayınları,,,,
Doğu Ekspresinde Cinayet,Agatha Christie,8.5,"['Edebiyat', 'Polisiye', 'Roman']",Çiğdem Öztekin,26800,5400,178.64,99.7,25.400000000000006,74.6,435,256,2019,1934,Altın Kitaplar,,,,
Monte Cristo Kontu,Alexandre Dumas,9.2,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Aysen Altınel,26800,7600,7.0,4.0,36.8,63.2,1795,1056,2010,1844,İthaki Yayınları,,,,
İncir Kuşları,Sinan Akyüz,8.8,"['Edebiyat', 'Roman']",,26700,6100,146.25,141.95,13.900000000000006,86.1,558,328,2021,2017,Alfa Yayınları,,Gökhan Burhan,,
Harry Potter ve Zümrüdüanka Yoldaşlığı,J. K. Rowling (Robert Galbraith),9.2,"['Roman', 'Fantastik', 'Edebiyat', 'Gençlik']",Kutlukhan Kutlu,26600,6100,221.0,286.66,24.400000000000006,75.6,1658,975,2020,2003,Yapı Kredi Yayınları,,,,
Cehennem,Dan Brown,8.7,"['Roman', 'Edebiyat', 'Korku-Gerilim', 'Macera-Aksiyon']",İpek Demir,26200,5800,327.25,258.83,37.5,62.5,979,576,2013,0,Altın Kitaplar,,,,
Pal Sokağı Çocukları,Ferenc Molnar,8.6,"['Roman', 'Dünya Klasikleri', 'Çocuk', 'Edebiyat']",Tarık Demirkan,25900,6000,42.25,39.2,26.599999999999994,73.4,400,235,2019,1906,Yapı Kredi Yayınları,,,,
Araba Sevdası,Recaizade Mahmut Ekrem,7.0,"['Edebiyat', 'Roman', 'Türk Klasikleri']",,25800,3011,80.0,79.3,30.400000000000006,69.6,529,311,2014,1898,İletişim Yayıncılık,,,,
Budala,Fyodor Dostoyevski,8.3,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Ergin Altay,25800,6000,117.0,60.39,45.1,54.9,1324,779,2012,1868,Türkiye İş Bankası Kültür Yayınları,,,,
Genç Bir Doktorun Anıları,Mihail Bulgakov,8.3,"['Hikaye (Öykü)', 'Sağlık-Tıp', 'Dünya Klasikleri', 'Edebiyat']",Tuğba Bolat,25500,5900,26.0,31.0,31.400000000000006,68.6,269,158,2023,1963,Türkiye İş Bankası Kültür Yayınları,,,,
Aşkımız Eski Bir Roman,Ahmet Ümit,7.9,"['Edebiyat', 'Polisiye', 'Roman']",,25300,4560,97.5,90.2,23.5,76.5,381,224,2019,0,Yapı Kredi Yayınları,,,,
"Canım Aliye, Ruhum Filiz",Sabahattin Ali,8.6,"['Edebiyat', 'Anı-Mektup-Günlük']",,25300,5500,19.5,36.2,18.400000000000006,81.6,272,160,2020,0,Yapı Kredi Yayınları,,,Sevengül Sönmez,
Bütün Şiirleri,Orhan Veli Kanık,8.2,"['Edebiyat', 'Şiir', 'Türk Klasikleri']",,24900,4861,42.25,36.33,34.8,65.2,420,247,2024,1951,Yapı Kredi Yayınları,,,,
Camdaki Kız,Gülseren Budayıcıoğlu,7.9,"['Roman', 'Psikoloji', 'Edebiyat']",,24700,5900,191.1,162.07,8.5,91.5,598,352,2019,0,Doğan Kitap,,Feyza Filiz,,
Alacakaranlık,Stephenie Meyer,7.9,"['Aşk', 'Edebiyat', 'Fantastik', 'Korku-Gerilim', 'Macera-Aksiyon', 'Roman']",Hüseyin Baran,24600,3398,177.0,188.81,12.299999999999997,87.7,680,400,2017,0,Epsilon Yayınları,,,,
Harry Potter ve Melez Prens,J. K. Rowling (Robert Galbraith),9.2,"['Roman', 'Fantastik', 'Edebiyat', 'Gençlik']",Kutlukhan Kutlu,24500,5500,260.0,235.2,26.400000000000006,73.6,1013,596,2021,2005,Yapı Kredi Yayınları,Betül Kadıoğlu,,,
Patasana,Ahmet Ümit,8.4,"['Edebiyat', 'Polisiye', 'Roman', 'Tarih']",,24500,4620,208.0,198.6,25.700000000000003,74.3,680,400,2012,2000,Everest Yayınları,,,,
"Bir Kedi, Bir Adam, Bir Ölüm",Zülfü Livaneli,7.9,"['Roman', 'Edebiyat']",,24300,4688,25.21,121.78,26.099999999999994,73.9,345,203,2021,2011,Doğan Kitap,,,,
Ölü Canlar,Nikolay Gogol,7.9,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Mazlum Beyhan,24300,4489,65.0,69.75,40.4,59.6,814,479,2024,1842,İş Bankası Kültür Yayınları,Alkan İnal,,,
Şu Hortumlu Dünyada Fil Yalnız Bir Hayvandır,Ahmet Şerif İzgören,8.4,"['Kişisel Gelişim', 'İnsan ve Toplum', 'İletişim-Medya']",,24200,5300,83.3,72.97,28.700000000000003,71.3,299,176,2022,2002,Elma Yayınevi,,,,
Ateşten Gömlek,Halide Edib Adıvar,8.1,"['Edebiyat', 'Roman', 'Türk Klasikleri']",,24200,4030,136.5,110.7,27.900000000000006,72.1,381,224,2019,1957,Can Yayınları,,,,
İnsan Olmak,Engin Geçtan,8.7,"['İnsan ve Toplum', 'Psikoloji']",,24000,6000,118.4,106.2,22.799999999999997,77.2,313,184,2019,1984,Metis Yayınları,,Emine Bora,,
Henüz Vakit Varken Gülüm,Nazım Hikmet Ran,8.6,"['Edebiyat', 'Şiir']",,23900,5100,52.0,48.4,27.5,72.5,190,112,2022,1976,Yapı Kredi Yayınları,,,,
Lavinia,Özdemir Asaf,8.6,"['Aşk', 'Edebiyat', 'Şiir']",,23900,5200,52.0,48.2,25.200000000000003,74.8,136,80,2022,2002,Yapı Kredi Yayınları,Fahri Güllüoğlu,,,
Bir Çift Yürek,Marlo Morgan,8.3,"['Edebiyat', 'Anı-Mektup-Günlük']",Eren Yücesan Cendey,23900,5200,90.88,88.0,29.700000000000003,70.3,427,251,2019,1990,Klan Yayınları,Cem Şen,,,
Mutlu Prens,Oscar Wilde,8.2,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Çocuk', 'Edebiyat']",Roza Hakmen,23700,4330,16.9,17.05,25.599999999999994,74.4,85,50,2022,1888,Türkiye İş Bankası Kültür Yayınları,,,,
Harry Potter ve Ölüm Yadigarları,J. K. Rowling (Robert Galbraith),9.4,"['Roman', 'Fantastik', 'Edebiyat', 'Gençlik']",Kutlukhan Kutlu,23600,5500,276.25,249.2,26.400000000000006,73.6,1173,690,2016,2007,Yapı Kredi Yayınları,Betül Kadıoğlu,,,
İtiraflarım,Lev Tolstoy,8.2,"['Dünya Klasikleri', 'Felsefe-Düşünce', 'Edebiyat', 'Deneme-İnceleme']",İhsan Özdemir,23600,4864,12.6,6.0,38.9,61.1,163,96,2016,1880,Antik Kitap,,,,
Bilinmeyen Adanın Öyküsü,José Saramago,7.4,"['Edebiyat', 'Roman']",Emrah İmre,23600,4484,98.0,84.23,31.900000000000006,68.1,102,60,2009,1997,Kırmızıkedi Yayınevi,,,,
Aynı Yıldızın Altında,John Green,8.0,"['Aşk', 'Edebiyat', 'Roman']",Çiçek Eriş,23600,4415,219.45,209.48,8.599999999999994,91.4,544,320,2017,2012,Pegasus Yayınları,,,,
Bulantı,Jean-Paul Sartre,7.9,"['Roman', 'Felsefe-Düşünce', 'Edebiyat']",Selahattin Hilav,23400,5100,94.5,89.1,37.2,62.8,442,260,2021,0,Can Yayınları,,,,
Don Quijote (2 Cilt Takım),Miguel de Cervantes,8.8,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Roza Hakmen,23300,5100,390.0,389.99,47.3,52.7,1547,910,2022,1605,Yapı Kredi Yayınları,,,,
Felatun Bey ile Rakım Efendi,Ahmet Mithat Efendi,7.5,"['Roman', 'Felsefe-Düşünce', 'Edebiyat', 'Sosyoloji', 'Türk Klasikleri']",,23300,3229,15.96,8.25,26.700000000000003,73.3,340,200,2014,1875,Dergah Yayınları,,,,
Macbeth,William Shakespeare,8.2,"['Dünya Klasikleri', 'Edebiyat', 'Tiyatro', 'Senaryo-Oyun']",Sabahattin Eyüboğlu,23100,4590,27.3,30.88,35.2,64.8,194,114,2021,1603,Türkiye İş Bankası Kültür Yayınları,,,,
Alice Harikalar Diyarında,Lewis Carroll,7.2,"['Roman', 'Dünya Klasikleri', 'Çocuk', 'Fantastik', 'Edebiyat']",Sinan Ezber,23000,3503,24.7,23.25,24.400000000000006,75.6,190,112,2021,1865,Türkiye İş Bankası Kültür Yayınları,,,,
Dörtlükler,Ömer Hayyam,8.3,"['Dünya Klasikleri', 'Edebiyat', 'Şiir']",Sabahattin Eyüboğlu,23000,5200,39.0,37.2,48.7,51.3,343,202,2021,1120,Türkiye İş Bankası Kültür Yayınları,,,,
Öteki,Fyodor Dostoyevski,7.6,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Tansu Akgün,22900,4342,26.0,31.0,39.5,60.5,320,188,2019,0,Türkiye İş Bankası Kültür Yayınları,,,,
Başlangıç,Dan Brown,8.5,"['Edebiyat', 'Macera-Aksiyon', 'Roman']",Petek Demir,22700,5600,338.8,267.96,38.1,61.9,911,536,2017,2017,Altın Kitaplar,,,,
Mart Menekşeleri,Sarah Jio,8.3,"['Roman', 'Aşk', 'Edebiyat']",Nihan Giray,22700,4268,59.5,49.4,8.0,92.0,571,336,2016,2011,Arkadya Yayınları,,,,
Cimri,Molière,8.2,"['Eğlence-Mizah', 'Dünya Klasikleri', 'Edebiyat', 'Tiyatro', 'Senaryo-Oyun']",Sabahattin Eyüboğlu,22600,4515,29.9,26.35,32.2,67.8,177,104,2022,1668,Türkiye İş Bankası Kültür Yayınları,Müge Karalom,,,
Katre-i Matem,İskender Pala,8.5,"['Roman', 'Tarih', 'Edebiyat']",,22500,4314,42.19,14.33,29.400000000000006,70.6,816,480,2022,2009,Kapı Yayınları,,Utku Lomlu,,
Koku,Patrick Süskind,8.1,"['Roman', 'Edebiyat', 'Korku-Gerilim']",Tevfik Turan,22400,4977,146.25,111.2,26.400000000000006,73.6,449,264,2018,1985,Can Yayınları,,,,
Robinson Crusoe,Daniel Defoe,8.2,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Fadime Kahya,22300,4087,50.7,52.7,47.5,52.5,558,328,2024,1719,Türkiye İş Bankası Kültür Yayınları,,,,
Dokuza Kadar On,Özdemir Asaf,8.4,"['Edebiyat', 'Şiir']",,22300,4512,52.0,48.2,24.5,75.5,190,112,2023,2010,Yapı Kredi Yayınları,Doğan Hızlan,,,
Yalnızız,Peyami Safa,8.6,"['Edebiyat', 'Roman', 'Türk Klasikleri']",,22200,5300,51.0,85.0,27.900000000000006,72.1,707,416,2019,0,Ötüken Neşriyat,,,,
Vatan Yahut Silistre,Namık Kemal,8.2,"['Edebiyat', 'Tiyatro', 'Senaryo-Oyun', 'Türk Klasikleri']",,22100,3688,19.5,20.15,38.2,61.8,122,72,2024,1872,Türkiye İş Bankası Kültür Yayınları,,,,
"""Benjamin Buttonın Tuhaf Hikayesi""",F. Scott Fitzgerald,7.7,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Fantastik', 'Bilim-Kurgu', 'Edebiyat']",Bülent O. Doğan,22000,3874,16.9,20.15,27.599999999999994,72.4,95,56,2020,1921,Türkiye İş Bankası Kültür Yayınları,,,,
Şu Çılgın Türkler,Turgut Özakman,9.2,"['Roman', 'Tarih', 'Edebiyat']",,22000,15,,,52.4,47.6,1278,752,2023,2007,Bilgi Yayınları,,,,
Az,Hakan Günday,8.5,"['Roman', 'Edebiyat', 'Yeraltı Edebiyatı']",,21900,5100,198.9,168.58,30.5,69.5,612,360,2019,2011,Doğan Kitap,,Geray Gençer,,
Bütün Şiirleri,Sabahattin Ali,8.2,"['Edebiyat', 'Şiir']",,21800,4371,26.0,27.5,33.099999999999994,66.9,274,161,2019,0,Yapı Kredi Yayınları,,,Atilla Özkırımlı,
